Wall time,Step,Value
1611169727.141215,15539,0.4134889841079712
1611169846.4415877,15741,0.6005897521972656
1611169860.7006915,15765,0.49399638175964355
1611169866.0285764,15774,0.4052506983280182
1611169898.6208754,15829,0.6497642993927002
1611169995.7751565,15994,0.4142189025878906
1611170056.1488247,16096,0.6054694652557373
1611170068.5736222,16117,0.4435899257659912
1611170147.218034,16250,0.5007818341255188
1611170189.4296548,16322,0.40493690967559814
1611170202.374513,16344,0.4899270534515381
1611170212.4124107,16361,0.5049614906311035
1611170239.6971104,16407,0.5235239267349243
1611170298.5682328,16506,0.47706592082977295
1611170411.7566893,16698,0.403864324092865
1611170477.9327736,16810,0.4921340346336365
1611170505.976812,16858,0.5533243417739868
1611170530.5485773,16900,0.4562941789627075
1611170629.5456269,17067,0.5099812746047974
1611170647.915368,17098,0.5292593240737915
1611170732.0771942,17240,0.5338272452354431
1611170751.7264433,17273,0.4065008759498596
1611170763.6243625,17293,0.5701697468757629
1611170778.4287899,17318,0.49017179012298584
1611170791.421833,17340,0.5933887958526611
1611170830.5631988,17406,0.5294526219367981
1611170853.8319135,17445,0.523309588432312
1611170859.7960093,17455,0.5199856758117676
1611170912.6852982,17544,0.4156089723110199
1611170921.0328395,17558,0.5400971174240112
1611170938.301395,17587,0.5475587248802185
1611170943.0605366,17595,0.503008246421814
1611170960.3365076,17624,0.5115718245506287
1611171019.1181483,17723,0.4378412961959839
1611171156.4712589,17954,0.4564868211746216
1611171173.1254551,17982,0.4619019627571106
1611171195.1558697,18019,0.649079442024231
1611171215.90195,18054,0.48995453119277954
1611171223.0139198,18066,0.5623555183410645
1611171260.7775445,18130,0.450705349445343
1611171340.1448925,18265,0.47497111558914185
1611171372.0464275,18319,0.3888135552406311
1611171450.708622,18452,0.5391439199447632
1611171451.2998662,18453,0.45942527055740356
1611171534.269817,18593,0.5237830877304077
1611171605.9655867,18714,0.4857475161552429
1611171610.1047409,18721,0.5294069051742554
1611171683.9346955,18846,0.49516651034355164
1611171750.3496704,18959,0.47760266065597534
1611171778.1168811,19006,0.5719987154006958
1611171803.5511885,19049,0.5231359004974365
1611171843.9684396,19117,0.5293198823928833
1611171875.3365448,19170,0.5152647495269775
1611171935.7457263,19272,0.3524293601512909
1611172085.9198506,19526,0.4741166830062866
1611172089.4108953,19532,0.5005170702934265
1611172153.8145857,19641,0.511431097984314
1611172162.0786052,19655,0.49653947353363037
1611172207.6723256,19732,0.4954431354999542
1611172211.2341337,19738,0.4536575675010681
1611172261.954492,19824,0.5003268718719482
1611172275.6790025,19847,0.5228922963142395
1611172317.1563938,19917,0.4957842230796814
1611172330.12373,19939,0.5414043664932251
1611172349.639651,19972,0.5375549793243408
1611172363.8497126,19996,0.5165077447891235
1611172387.488455,20036,0.4552842974662781
1611172398.1201403,20054,0.555505633354187
1611172401.682979,20060,0.5132406949996948
1611172403.461766,20063,0.5243425369262695
1611172448.2995868,20139,0.47560352087020874
1611172448.8809206,20140,0.4850189983844757
1611172476.3794174,20187,0.3827492594718933
1611172494.7711425,20218,0.4970741271972656
1611172510.6342454,20245,0.440260648727417
1611172512.388407,20248,0.5482531785964966
1611172515.3016446,20253,0.4041476845741272
1611172557.3806973,20324,0.4263080954551697
1611172592.927526,20384,0.3863886296749115
1611172626.8237598,20441,0.4873337149620056
1611172653.5287461,20486,0.46795907616615295
1611172677.8107014,20527,0.5462503433227539
1611172685.5129104,20540,0.5329597592353821
1611172686.1040728,20541,0.4638591408729553
1611172699.164912,20563,0.4410064220428467
1611172708.7072802,20579,0.5109383463859558
1611172786.72523,20711,0.5419367551803589
1611172827.7411397,20780,0.4063928723335266
1611172829.5285528,20783,0.5821134448051453
1611172830.124471,20784,0.43518364429473877
1611172858.640817,20832,0.5547547340393066
1611172872.8588579,20856,0.5522987842559814
